Id:,26139
Estación:,HERMOSILLO II (DGE)-SON
Posición:,29.0988888889N -110.965833333W
Variable:,Unidades Calor (oD)
Fecha Inicial:,01/01/1973
Fecha Final:,10/01/2016
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1973,0.56
01,02,1973,1.75
01,03,1973,3.56
01,04,1973,3.47
01,05,1973,4.17
01,06,1973,3.64
01,07,1973,5.75
01,08,1973,5.08
01,09,1973,5.81
01,10,1973,4.74
01,11,1973,5.8
01,12,1973,7.44
01,13,1973,6.79
01,14,1973,10.0
01,15,1973,8.75
01,16,1973,8.6
01,17,1973,6.29
01,18,1973,4.48
01,19,1973,5.34
01,20,1973,2.67
01,21,1973,2.71
01,22,1973,3.77
01,23,1973,3.34
01,24,1973,4.3
01,25,1973,6.61
01,26,1973,3.92
01,27,1973,3.7
01,28,1973,7.11
01,29,1973,10.5
01,30,1973,7.25
01,31,1973,4.73
02,01,1973,4.87
02,02,1973,8.02
02,03,1973,10.66
02,04,1973,10.22
02,05,1973,12.22
02,06,1973,9.5
02,07,1973,5.75
02,08,1973,8.25
02,09,1973,7.5
02,10,1973,6.75
02,11,1973,4.0
02,12,1973,6.5
02,13,1973,4.97
02,14,1973,6.54
02,15,1973,6.04
02,16,1973,4.84
02,17,1973,5.56
02,18,1973,7.26
02,19,1973,8.5
02,20,1973,5.5
02,21,1973,5.75
02,22,1973,6.5
02,23,1973,7.0
02,24,1973,7.5
02,25,1973,8.29
02,26,1973,10.72
02,27,1973,11.25
02,28,1973,10.95
03,01,1973,10.75
03,02,1973,9.25
03,03,1973,9.25
03,04,1973,9.5
03,05,1973,6.0
03,06,1973,6.11
03,07,1973,5.94
03,08,1973,7.25
03,09,1973,5.25
03,10,1973,5.08
03,11,1973,6.55
03,12,1973,4.75
03,13,1973,3.28
03,14,1973,3.5
03,15,1973,4.64
03,16,1973,7.6
03,17,1973,9.0
03,18,1973,6.5
03,19,1973,9.5
03,20,1973,7.75
03,21,1973,6.25
03,22,1973,6.29
03,23,1973,4.91
03,24,1973,6.86
03,25,1973,7.79
03,26,1973,7.25
03,27,1973,5.37
03,28,1973,5.12
03,29,1973,5.75
03,30,1973,6.06
03,31,1973,7.54
04,01,1973,8.75
04,02,1973,6.25
04,03,1973,6.45
04,04,1973,8.25
04,05,1973,9.0
04,06,1973,5.54
04,07,1973,9.5
04,08,1973,9.5
04,09,1973,10.19
04,10,1973,11.4
04,11,1973,12.56
04,12,1973,11.87
04,13,1973,11.82
04,14,1973,11.0
04,15,1973,9.25
04,16,1973,9.5
04,17,1973,11.75
04,18,1973,10.25
04,19,1973,10.0
04,20,1973,11.25
04,21,1973,11.5
04,22,1973,10.5
04,23,1973,10.5
04,24,1973,12.31
04,25,1973,13.11
04,26,1973,14.72
04,27,1973,15.31
04,28,1973,14.19
04,29,1973,13.75
04,30,1973,9.25
05,01,1973,11.5
05,02,1973,14.52
05,03,1973,14.28
05,04,1973,11.25
05,05,1973,12.75
05,06,1973,10.5
05,07,1973,13.59
05,08,1973,14.75
05,09,1973,15.77
05,10,1973,15.12
05,11,1973,16.03
05,12,1973,15.84
05,13,1973,15.4
05,14,1973,14.68
05,15,1973,16.66
05,16,1973,14.95
05,17,1973,16.67
05,18,1973,17.93
05,19,1973,17.25
05,20,1973,16.72
